Text,Polarity
জয় বাংলা কাপ! তাও আবার স্বাধীনতার মাস মার্চে। যার মাথা থেকে এমন চমৎকার আইডিয়া এসেছে তালে স্যালুট,positive
জয় বাংলা কাপ! তাও আবার স্বাধীনতার মাস মার্চে। যার মাথা থেকে এমন চমৎকার আইডিয়া এসেছে তালে স্যালুট,positive
বাংলাদেশের পরে ভারতের সাপর্ট ই করি ?,positive
 সৌম্যকে বাদ দেওয়া হোক,negative
"প্রথমটি হচ্ছে, কোচ অত:পর সাকিব,সাকিব আর সাকিবরে দলে রাখা",positive
"প্রথমটি হচ্ছে, কোচ অত:পর সাকিব,সাকিব আর সাকিবরে দলে রাখা",positive
 মুসফিক আর তামিমের বেটিং তান্ড়বে কুহিলির জিব্বহাটা শুকিয়ে গেছে গরুর মুত খাওয়ার জন্য,negative
 সত্যি সত্যিই ছিলো বাঘ আমাদেরই চাপে হয়ে গেলো বেড়াল l,negative
",বাংলাদেশ জিদবে ইনশা আল্লাহ",positive
"ক্রিকেটে ভারত একটা অসভ্য দল,বিরাট কোহলির আচরনে স্পষ্ট ফুটে উঠে।",negative
",বাংলাদেশ জিদবে ইনশা আল্লাহ",positive
স্পিনারের সামনে নই রাজ্জাকের সামনে ধরাশায়ী র্রীলংকা,positive
স্পিনারের সামনে নই রাজ্জাকের সামনে ধরাশায়ী র্রীলংকা,positive
দেশের এই ভয়ানক পরিস্থিতিতে আওয়ামী দালাল বিবিসি আছে খেলাধুলা নিয়া!,negative
আসলে রাজ্জাক অসাধারণ ক্রিকেটার। শুভ কামনা রইল,positive
আসলে রাজ্জাক অসাধারণ ক্রিকেটার। শুভ কামনা রইল,positive
 টাইগার ইজ টাইগার,positive
আরো একবার বিশ্বকে দেখিয়ে দিলাম আমরাওহোয়াইট ওয়াশ করতে পারি!,positive
বাংলার সচীন লিটল মাস্টার মমিন।,positive
আমরা বাঙালিরা অলপতে খুশি।একবার ভাল খেললে দেমাগ বেড়ে যায।মুমিনুলের আউট এর প্রমাণ।,negative
জরিমানা করা হউক। ৩ মাসের বেতন কর্তন।,negative
 নিজেদের মাঠ সম্পর্কে ধারনা নাই দলের ?,negative
 টেষ্ট ক্রিকেটে রান আউট খুবই দুঃখজনক।,negative
মুশি কি করলো,negative
ব্যাট ধরার আগেই তিন জন আউট হাইরে শেখ হাসিনার বাংলাদেশ,negative
সিনিয়রদের এই ভুল গুলো মেনে নেওয়া যায়না।।।।।,negative
সিনিয়রদের এই ভুল গুলো মেনে নেওয়া যায়না।।।।।,negative
 নিজের মাটিতে সালারা এটা খেলা,negative
তামিম ত টেস্টে খেলা জানে না,negative
দুই ইনিংসে বড় জোর 200 ইনিংস পরাজয় কাছাকাছি।,negative
" বাংলাদেশ উপেক্ষা করেনি, করেছে হাতুরাসিংহে। ",neutral
মুমিনুল আর রাজ্জাকের মতো বাংলাদেশের সেরা টেস্ট ব্যাটসম্যান আর সেরা স্পিনারের ক্যারিয়ার শেষ করে দিতে চেয়েছিল সে।,negative
" মুমিনুলের পর, রাজের রাজসিক প্রত্যাবর্তন।",positive
পাপনের মতো আবাল থাকলে যারা প্রতিভা তারা কখনোই নিয়মিত সুযোগ পাবেনা।,negative
ইমরুল খারাপ ফর্মে থাকা অবস্থায় তাকে নেওয়া হয়তেছে অথচ শাহরিয়ার নাফিসকে সুযোগ দেওয়া হয়তেছে না।,negative
ইমরুল খারাপ ফর্মে থাকা অবস্থায় তাকে নেওয়া হয়তেছে অথচ শাহরিয়ার নাফিসকে সুযোগ দেওয়া হয়তেছে না।,negative
"ভাই থামেন ত্রকটু জিরা পানি খান,খেলা ত্রখনো অনেক বাকি?ত্রতটা হাওয়া দিয়েন না,যেন আকাশে ওঠে যায়.",neutral
বাংলাদেশ ক্রিকেট দলে যদি প্রতিভাবান ও যোগ্য ব্যক্তিরা সুযোগ পেতো তবে দেশের ক্রিকেট আরো অনেক আগেই পৃথিবীর অন্যতম সেরা দল হতো।,positive
সানজামুল ইসালামের ২০০ রানের বিনিনয়ে কেনা একমাত্র উইকেটটি নাকি তার গুরু নান্নুকে উপহার দিয়েছে?,negative
খন আবার একটা ম্যাচ ভালো না খেলুক তখন আবার জোর গলায় বলবে এই রাজ্জাক কে বাদ দেও খেলতে পারে না,negative
" মাশরাফি থাকলে ভাল হত,দু খানা পেদে দিত, আর শ্রীলনকা পাদের গন্ধে পিনিক এ পরে ইন্নিস বাবধানে হারত",negative
 মাঝে মধ্যে উপেক্ষা দরকার আছে ও দুনিয়ার ঢিলে হয়ে গেছিল,neutral
 মিরপুর এর পিচ এ যে কেও বোলিং করতে পারে,neutral
হেরাথ বোলিং এর আগেই ৪ উইকেট নাই!! ফেব্রুয়ারি মাস লিটন এর মাস দেখা যাক কি হয় ,negative
হেরাথ বোলিং এর আগেই ৪ উইকেট নাই!! ফেব্রুয়ারি মাস লিটন এর মাস দেখা যাক কি হয় ,negative
 হুজুগে বাঙালি।হালারা তাকে ভাল খেলছে বলে মাথাই নিয়ে নাছবে আবার কয়েকটা খারাপ খেললে মাথা থেকে ফেলে দিবে।,negative
"আর অনেক আগেই রাজ্জাক কে দলে নেওয়া প্রয়োজন ছিলো, তাহলে আর ভালো করতো বাংলাদেশ।",positive
 আমার মনে হয় সাকিবের পরে আর কাউকে যদি ইস্পিন বোলিং খেলোয়াড় বাংলাদেশে থাকে থাকে সে হলো বাগেরহাটের রাজ্জাক।,positive
 রাজকীয় রাজ্জাক,positive
শাহারিয়ার নাফিস কে ও ফেরানো হোক,positive
শাহারিয়ার নাফিস কে ও ফেরানো হোক,neutral
 আজকে বুঝল রাজ্জাকে কতটুকু দরকার ছিল,positive
অল আউট হ তারাতারি।,negative
অল আউট হ তারাতারি।,negative
সাকিব সুস্ত হলে কি রাজ্জাক বাদ.,neutral
"বাংঙালীকে তেল দিতে নেই। ভালো খেলছে, ধন্যবাদ।",negative
"গুরু তোমায় লাল সালাম,এগিয়ে যাও আর সবাই কে দেখিয়ে দাও,,,,,,,",positive
 রাজ্জাক কে আবার দলে দরকার ।,negative
 রাজ্জাক কে আবার দলে দরকার ।,positive
হাথুরু কে রানিং বিটউইন দ্যা উইকেটের শিক্ষা দিল মুমিনুল,negative
"এ আর নতুনকি, বাংলাদেশের ক্রিকেট মানেই,সজন প্রিয়জন ,,",negative
রাজ্জাককে উপেক্ষা করেনি বাংলাদেশ! উপেক্ষা করেছিল হাথুরেসিংহে,negative
স্যলুট জানাই রাজ্জাক ভাই কে।।,positive
 এটাই তো সমস্যা এক দিনে হিরো করে দেওয়া তোমাদের কাজ,negative
